session,predictor,target,direction,r2,time,cv,lag,rank
1111013640,VISl,VISp,top-down,,,4,0,20
1109889304,VISl,VISp,top-down,,,4,0,16
1113751921,VISl,VISp,top-down,,,4,0,18
1048089115,VISl,VISp,top-down,,,3,0,18
1047969464,VISl,VISp,top-down,,,3,0,16
1049514117,VISl,VISp,top-down,,,3,0,12
1052533439,VISl,VISp,top-down,,,4,0,16
1053941482,VISl,VISp,top-down,,,4,0,16
1055415082,VISl,VISp,top-down,,,3,0,16
1064639378,VISl,VISp,top-down,,,4,0,18
1065905010,VISl,VISp,top-down,,,4,0,16
1069461581,VISl,VISp,top-down,,,4,0,20
1081079981,VISl,VISp,top-down,,,3,0,16
1081429294,VISl,VISp,top-down,,,4,0,16
1086200042,VISl,VISp,top-down,,,4,0,14
1086410738,VISl,VISp,top-down,,,3,0,10
1087720424,VISl,VISp,top-down,,,4,0,12
1087992708,VISl,VISp,top-down,,,4,0,14
1091039376,VISl,VISp,top-down,,,4,0,16
1091039902,VISl,VISp,top-down,,,4,0,20
1095340643,VISl,VISp,top-down,,,4,0,16
1098119201,VISl,VISp,top-down,,,2,0,4
1111013640,VISp,VISl,bottom-up,0.209,50,4,0,25
1109889304,VISp,VISl,bottom-up,0.268,50,3,0,16
1113751921,VISp,VISl,bottom-up,0.152,50,4,0,20
1048189115,VISp,VISl,bottom-up,0.277,50,4,0,18
1047969464,VISp,VISl,bottom-up,0.166,50,3,0,18
1049514117,VISp,VISl,bottom-up,0.218,50,4,0,10
1052533639,VISp,VISl,bottom-up,0.219,50,4,0,14
1053941483,VISp,VISl,bottom-up,0.133,50,4,0,20
1055415082,VISp,VISl,bottom-up,0.248,50,3,0,16
1064639378,VISp,VISl,bottom-up,0.209,50,4,0,18
1065905010,VISp,VISl,bottom-up,0.172,50,4,0,16
1069461581,VISp,VISl,bottom-up,0.222,50,4,0,18
1081079981,VISp,VISl,bottom-up,0.267,50,3,0,16
1081429294,VISp,VISl,bottom-up,0.25,50,4,0,14
1086200042,VISp,VISl,bottom-up,0.17,50,4,0,16
1086410738,VISp,VISl,bottom-up,0.136,50,3,0,14
1087720624,VISp,VISl,bottom-up,0.172,50,4,0,14
1087992708,VISp,VISl,bottom-up,0.159,100,4,0,14
1091039376,VISp,VISl,bottom-up,0.223,50,3,0,16
1091039902,VISp,VISl,bottom-up,0.261,50,4,0,20
1095340643,VISp,VISl,bottom-up,0.156,50,4,0,16
1098119201,VISp,VISl,bottom-up,0.038,0,2,0,6
